index	name	red	green	blue	alpha
233	7Networks_RH_SomMot_3	74.0	128.0	181.0	255.0
234	7Networks_RH_SomMot_4	74.0	129.0	174.0	255.0
235	7Networks_RH_SomMot_5	74.0	129.0	175.0	255.0
236	7Networks_RH_SomMot_6	74.0	129.0	176.0	255.0
237	7Networks_RH_SomMot_7	74.0	129.0	177.0	255.0
238	7Networks_RH_SomMot_8	74.0	129.0	178.0	255.0
239	7Networks_RH_SomMot_9	74.0	129.0	179.0	255.0
240	7Networks_RH_SomMot_10	74.0	129.0	180.0	255.0
241	7Networks_RH_SomMot_11	74.0	129.0	181.0	255.0
242	7Networks_RH_SomMot_12	74.0	130.0	174.0	255.0
243	7Networks_RH_SomMot_13	74.0	130.0	175.0	255.0
244	7Networks_RH_SomMot_14	74.0	130.0	176.0	255.0
245	7Networks_RH_SomMot_15	74.0	130.0	177.0	255.0
246	7Networks_RH_SomMot_16	74.0	130.0	178.0	255.0
247	7Networks_RH_SomMot_17	74.0	130.0	179.0	255.0
248	7Networks_RH_SomMot_18	74.0	130.0	180.0	255.0
249	7Networks_RH_SomMot_19	74.0	130.0	182.0	255.0
250	7Networks_RH_SomMot_20	74.0	130.0	183.0	255.0
251	7Networks_RH_SomMot_21	74.0	130.0	184.0	255.0
252	7Networks_RH_SomMot_22	74.0	130.0	185.0	255.0
253	7Networks_RH_SomMot_23	74.0	130.0	186.0	255.0
254	7Networks_RH_SomMot_24	74.0	130.0	187.0	255.0
255	7Networks_RH_SomMot_25	74.0	130.0	188.0	255.0
256	7Networks_RH_SomMot_26	74.0	131.0	181.0	255.0
257	7Networks_RH_SomMot_27	74.0	131.0	182.0	255.0
258	7Networks_RH_SomMot_28	74.0	131.0	183.0	255.0
259	7Networks_RH_SomMot_29	74.0	131.0	184.0	255.0
260	7Networks_RH_SomMot_30	74.0	131.0	185.0	255.0
261	7Networks_RH_SomMot_31	74.0	131.0	186.0	255.0
262	7Networks_RH_SomMot_32	74.0	131.0	187.0	255.0
263	7Networks_RH_SomMot_33	74.0	131.0	188.0	255.0
264	7Networks_RH_SomMot_34	74.0	132.0	181.0	255.0
265	7Networks_RH_SomMot_35	74.0	132.0	182.0	255.0
266	7Networks_RH_SomMot_36	74.0	132.0	183.0	255.0
267	7Networks_RH_SomMot_37	74.0	132.0	184.0	255.0
268	7Networks_RH_SomMot_38	74.0	132.0	185.0	255.0
269	7Networks_RH_SomMot_39	74.0	132.0	186.0	255.0
270	7Networks_RH_SomMot_40	74.0	132.0	187.0	255.0
271	7Networks_RH_DorsAttn_Post_1	4.0	118.0	15.0	255.0
272	7Networks_RH_DorsAttn_Post_2	4.0	119.0	8.0	255.0
273	7Networks_RH_DorsAttn_Post_3	4.0	119.0	9.0	255.0
274	7Networks_RH_DorsAttn_Post_4	4.0	119.0	10.0	255.0
275	7Networks_RH_DorsAttn_Post_5	4.0	119.0	11.0	255.0
276	7Networks_RH_DorsAttn_Post_6	4.0	119.0	12.0	255.0
277	7Networks_RH_DorsAttn_Post_7	4.0	119.0	13.0	255.0
278	7Networks_RH_DorsAttn_Post_8	4.0	119.0	14.0	255.0
279	7Networks_RH_DorsAttn_Post_9	4.0	119.0	16.0	255.0
280	7Networks_RH_DorsAttn_Post_10	4.0	119.0	17.0	255.0
281	7Networks_RH_DorsAttn_Post_11	4.0	119.0	18.0	255.0
282	7Networks_RH_DorsAttn_Post_12	4.0	119.0	19.0	255.0
283	7Networks_RH_DorsAttn_Post_13	4.0	119.0	20.0	255.0
284	7Networks_RH_DorsAttn_Post_14	4.0	119.0	21.0	255.0
285	7Networks_RH_DorsAttn_Post_15	4.0	119.0	22.0	255.0
286	7Networks_RH_DorsAttn_Post_16	4.0	120.0	15.0	255.0
287	7Networks_RH_DorsAttn_Post_17	4.0	120.0	16.0	255.0
288	7Networks_RH_DorsAttn_Post_18	4.0	120.0	17.0	255.0
289	7Networks_RH_DorsAttn_Post_19	4.0	120.0	18.0	255.0
290	7Networks_RH_DorsAttn_FEF_1	5.0	118.0	15.0	255.0
291	7Networks_RH_DorsAttn_FEF_2	5.0	118.0	16.0	255.0
292	7Networks_RH_DorsAttn_FEF_3	5.0	118.0	17.0	255.0
293	7Networks_RH_DorsAttn_PrCv_1	5.0	118.0	18.0	255.0
294	7Networks_RH_SalVentAttn_TempOccPar_1	201.0	58.0	249.0	255.0
295	7Networks_RH_SalVentAttn_TempOccPar_2	201.0	58.0	250.0	255.0
296	7Networks_RH_SalVentAttn_TempOccPar_3	201.0	58.0	252.0	255.0
297	7Networks_RH_SalVentAttn_TempOccPar_4	201.0	58.0	253.0	255.0
298	7Networks_RH_SalVentAttn_TempOccPar_5	201.0	58.0	254.0	255.0
299	7Networks_RH_SalVentAttn_TempOccPar_6	201.0	58.0	255.0	255.0
300	7Networks_RH_SalVentAttn_TempOccPar_7	198.0	51.0	250.0	255.0
301	7Networks_RH_SalVentAttn_PrC_1	201.0	59.0	251.0	255.0
302	7Networks_RH_SalVentAttn_FrOperIns_1	201.0	59.0	249.0	255.0
303	7Networks_RH_SalVentAttn_FrOperIns_2	201.0	59.0	250.0	255.0
304	7Networks_RH_SalVentAttn_FrOperIns_3	201.0	59.0	252.0	255.0
305	7Networks_RH_SalVentAttn_FrOperIns_4	201.0	59.0	253.0	255.0
306	7Networks_RH_SalVentAttn_FrOperIns_5	201.0	59.0	254.0	255.0
307	7Networks_RH_SalVentAttn_FrOperIns_6	201.0	59.0	255.0	255.0
308	7Networks_RH_SalVentAttn_FrOperIns_7	198.0	52.0	250.0	255.0
309	7Networks_RH_SalVentAttn_FrOperIns_8	198.0	52.0	251.0	255.0
310	7Networks_RH_SalVentAttn_PFCl_1	200.0	57.0	251.0	255.0
311	7Networks_RH_SalVentAttn_Med_1	200.0	57.0	247.0	255.0
312	7Networks_RH_SalVentAttn_Med_2	200.0	57.0	248.0	255.0
313	7Networks_RH_SalVentAttn_Med_3	200.0	57.0	250.0	255.0
314	7Networks_RH_SalVentAttn_Med_4	200.0	57.0	252.0	255.0
315	7Networks_RH_SalVentAttn_Med_5	200.0	57.0	253.0	255.0
316	7Networks_RH_SalVentAttn_Med_6	200.0	57.0	254.0	255.0
317	7Networks_RH_SalVentAttn_Med_7	200.0	57.0	255.0	255.0
318	7Networks_RH_SalVentAttn_Med_8	200.0	58.0	249.0	255.0
319	7Networks_RH_Limbic_OFC_1	224.0	249.0	163.0	255.0
320	7Networks_RH_Limbic_OFC_2	224.0	249.0	165.0	255.0
321	7Networks_RH_Limbic_OFC_3	224.0	249.0	166.0	255.0
322	7Networks_RH_Limbic_OFC_4	224.0	249.0	167.0	255.0
323	7Networks_RH_Limbic_OFC_5	224.0	249.0	168.0	255.0
324	7Networks_RH_Limbic_OFC_6	224.0	249.0	169.0	255.0
325	7Networks_RH_Limbic_TempPole_1	224.0	249.0	164.0	255.0
326	7Networks_RH_Limbic_TempPole_2	224.0	249.0	170.0	255.0
327	7Networks_RH_Limbic_TempPole_3	224.0	249.0	171.0	255.0
328	7Networks_RH_Limbic_TempPole_4	224.0	249.0	172.0	255.0
329	7Networks_RH_Limbic_TempPole_5	224.0	250.0	165.0	255.0
330	7Networks_RH_Limbic_TempPole_6	224.0	250.0	166.0	255.0
331	7Networks_RH_Limbic_TempPole_7	224.0	250.0	167.0	255.0
332	7Networks_RH_Cont_Par_1	234.0	147.0	33.0	255.0
333	7Networks_RH_Cont_Par_2	234.0	147.0	35.0	255.0
334	7Networks_RH_Cont_Par_3	234.0	147.0	36.0	255.0
335	7Networks_RH_Cont_Par_4	234.0	147.0	37.0	255.0
336	7Networks_RH_Cont_Par_5	234.0	147.0	38.0	255.0
337	7Networks_RH_Cont_Par_6	234.0	147.0	39.0	255.0
338	7Networks_RH_Cont_Temp_1	234.0	147.0	34.0	255.0
339	7Networks_RH_Cont_Temp_2	234.0	147.0	40.0	255.0
340	7Networks_RH_Cont_PFCv_1	233.0	148.0	35.0	255.0
341	7Networks_RH_Cont_PFCl_1	233.0	148.0	27.0	255.0
342	7Networks_RH_Cont_PFCl_2	233.0	148.0	28.0	255.0
343	7Networks_RH_Cont_PFCl_3	233.0	148.0	29.0	255.0
344	7Networks_RH_Cont_PFCl_4	233.0	148.0	30.0	255.0
345	7Networks_RH_Cont_PFCl_5	233.0	148.0	31.0	255.0
346	7Networks_RH_Cont_PFCl_6	233.0	148.0	32.0	255.0
347	7Networks_RH_Cont_PFCl_7	233.0	148.0	34.0	255.0
348	7Networks_RH_Cont_PFCl_8	233.0	148.0	36.0	255.0
349	7Networks_RH_Cont_PFCl_9	233.0	148.0	37.0	255.0
350	7Networks_RH_Cont_PFCl_10	233.0	148.0	38.0	255.0
351	7Networks_RH_Cont_PFCl_11	233.0	148.0	39.0	255.0
352	7Networks_RH_Cont_PFCl_12	233.0	148.0	40.0	255.0
353	7Networks_RH_Cont_PFCl_13	233.0	149.0	33.0	255.0
354	7Networks_RH_Cont_PFCl_14	233.0	149.0	34.0	255.0
355	7Networks_RH_Cont_PFCl_15	233.0	149.0	35.0	255.0
